vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-317.1	2.3071	2.227	2.8127
-317	2.3073	2.2273	2.8128
-316.9	2.308	2.2276	2.8129
-316.8	2.3089	2.2279	2.813
-316.7	2.3098	2.2282	2.8132
-316.6	2.3105	2.2286	2.8135
-316.5	2.311	2.2289	2.8139
-316.4	2.3114	2.2291	2.8144
-316.3	2.3116	2.2294	2.8149
-316.2	2.3119	2.2297	2.8155
-316.1	2.3124	2.23	2.8163
-316	2.3128	2.2304	2.8171
-315.9	2.313	2.2307	2.8181
-315.8	2.3131	2.2311	2.8192
-315.7	2.3136	2.2314	2.8201
-315.6	2.3139	2.2318	2.8211
-315.5	2.3141	2.2322	2.8222
-315.4	2.3144	2.2326	2.8232
-315.3	2.3148	2.233	2.8244
-315.2	2.3154	2.2333	2.8254
-315.1	2.3159	2.2337	2.8264
-315	2.3161	2.2341	2.8274
-314.9	2.316	2.2345	2.8283
-314.8	2.3162	2.2349	2.8291
-314.7	2.3165	2.2353	2.8299
-314.6	2.317	2.2357	2.8305
-314.5	2.3174	2.2361	2.831
-314.4	2.3177	2.2365	2.8314
-314.3	2.3178	2.2369	2.8317
-314.2	2.3179	2.2373	2.8318
-314.1	2.318	2.2378	2.8317
-314	2.3182	2.2382	2.8316
-313.9	2.3184	2.2386	2.8314
-313.8	2.3185	2.2391	2.8311
-313.7	2.3186	2.2395	2.8307
-313.6	2.3185	2.2399	2.8303
-313.5	2.3184	2.2404	2.8298
-313.4	2.3183	2.2408	2.8293
-313.3	2.3181	2.2412	2.8287
-313.2	2.318	2.2416	2.8282
-313.1	2.3181	2.242	2.8276
-313	2.3181	2.2424	2.827
-312.9	2.3182	2.2428	2.8264
-312.8	2.3182	2.2432	2.8259
-312.7	2.318	2.2436	2.8254
-312.6	2.3178	2.244	2.8248
-312.5	2.3176	2.2444	2.8243
-312.4	2.3176	2.2448	2.8238
-312.3	2.3176	2.2453	2.8233
-312.2	2.3175	2.2457	2.8227
-312.1	2.3174	2.2461	2.8222
-312	2.3173	2.2466	2.8216
-311.9	2.3173	2.247	2.821
-311.8	2.3173	2.2474	2.8204
-311.7	2.3173	2.2479	2.8197
-311.6	2.3172	2.2483	2.8191
-311.5	2.3172	2.2488	2.8184
-311.4	2.3171	2.2492	2.8176
-311.3	2.317	2.2497	2.8168
-311.2	2.3168	2.2501	2.8158
-311.1	2.3167	2.2505	2.8149
-311	2.3165	2.251	2.8139
-310.9	2.3164	2.2514	2.8128
-310.8	2.3164	2.2518	2.8117
-310.7	2.3163	2.2522	2.8105
-310.6	2.3161	2.2526	2.8094
-310.5	2.3159	2.253	2.8082
-310.4	2.3158	2.2533	2.8071
-310.3	2.3157	2.2537	2.8059
-310.2	2.3156	2.2541	2.8048
-310.1	2.3154	2.2544	2.8038
-310	2.3153	2.2548	2.8028
-309.9	2.315	2.2552	2.8018
-309.8	2.3148	2.2555	2.8009
-309.7	2.3145	2.2558	2.8
-309.6	2.3143	2.2562	2.7992
-309.5	2.314	2.2565	2.7984
-309.4	2.3137	2.2568	2.7977
-309.3	2.3135	2.2571	2.7971
-309.2	2.3133	2.2573	2.7965
-309.1	2.313	2.2576	2.7959
-309	2.3128	2.2578	2.7953
-308.9	2.3124	2.2581	2.7948
-308.8	2.3122	2.2583	2.7943
-308.7	2.312	2.2585	2.7937
-308.6	2.3118	2.2587	2.7933
-308.5	2.3117	2.2589	2.7927
-308.4	2.3116	2.2591	2.7921
-308.3	2.3114	2.2592	2.7916
-308.2	2.3112	2.2594	2.791
-308.1	2.3111	2.2595	2.7903
-308	2.3109	2.2596	2.7896
-307.9	2.3108	2.2597	2.7888
-307.8	2.3107	2.2598	2.788
-307.7	2.3105	2.2599	2.7871
-307.6	2.3104	2.2599	2.7861
-307.5	2.3103	2.2599	2.7851
-307.4	2.3101	2.2599	2.7841
-307.3	2.31	2.2599	2.783
-307.2	2.3098	2.2598	2.7819
-307.1	2.3097	2.2597	2.7808
-307	2.3095	2.2596	2.7796
-306.9	2.3094	2.2594	2.7785
-306.8	2.3092	2.2592	2.7774
-306.7	2.3091	2.259	2.7763
-306.6	2.309	2.2588	2.7752
-306.5	2.309	2.2585	2.7741
-306.4	2.3089	2.2583	2.773
-306.3	2.3088	2.258	2.772
-306.2	2.3087	2.2577	2.771
-306.1	2.3085	2.2573	2.77
-306	2.3084	2.257	2.769
-305.9	2.3082	2.2567	2.7681
-305.8	2.3082	2.2563	2.7672
-305.7	2.3082	2.2559	2.7663
-305.6	2.308	2.2555	2.7654
-305.5	2.3079	2.2551	2.7646
-305.4	2.3078	2.2547	2.7638
-305.3	2.3077	2.2542	2.763
-305.2	2.3076	2.2538	2.7622
-305.1	2.3074	2.2533	2.7614
-305	2.3073	2.2529	2.7606
-304.9	2.307	2.2524	2.7597
-304.8	2.3069	2.252	2.7589
-304.7	2.3067	2.2515	2.7581
-304.6	2.3066	2.2511	2.7573
-304.5	2.3064	2.2507	2.7564
-304.4	2.3061	2.2503	2.7555
-304.3	2.306	2.2498	2.7546
-304.2	2.3058	2.2493	2.7537
-304.1	2.3056	2.2488	2.7528
-304	2.3054	2.2484	2.7519
-303.9	2.3051	2.2479	2.7509
-303.8	2.3049	2.2473	2.75
-303.7	2.3047	2.2468	2.749
-303.6	2.3046	2.2462	2.748
-303.5	2.3043	2.2456	2.7471
-303.4	2.304	2.245	2.7462
-303.3	2.3038	2.2444	2.7453
-303.2	2.3035	2.2438	2.7443
-303.1	2.3033	2.2432	2.7434
-303	2.3031	2.2426	2.7426
-302.9	2.3029	2.2419	2.7418
-302.8	2.3028	2.2413	2.741
-302.7	2.3026	2.2407	2.7403
-302.6	2.3025	2.24	2.7396
-302.5	2.3021	2.2393	2.739
-302.4	2.3018	2.2386	2.7384
-302.3	2.3016	2.2379	2.7379
-302.2	2.3013	2.2372	2.7375
-302.1	2.301	2.2364	2.7372
-302	2.3008	2.2357	2.7368
-301.9	2.3006	2.235	2.7366
-301.8	2.3004	2.2342	2.7363
-301.7	2.3001	2.2334	2.7361
-301.6	2.2997	2.2327	2.7361
-301.5	2.2995	2.2319	2.7361
-301.4	2.2992	2.2312	2.7361
-301.3	2.2988	2.2305	2.7362
-301.2	2.2985	2.2297	2.7364
-301.1	2.2982	2.229	2.7366
-301	2.2978	2.2283	2.7368
-300.9	2.2975	2.2276	2.7371
-300.8	2.2972	2.2269	2.7375
-300.7	2.2969	2.2262	2.7378
-300.6	2.2964	2.2255	2.7382
-300.5	2.2961	2.2248	2.7386
-300.4	2.2957	2.2241	2.7389
-300.3	2.2954	2.2234	2.7393
-300.2	2.2948	2.2228	2.7397
-300.1	2.2944	2.2221	2.7401
-300	2.294	2.2214	2.7404
-299.9	2.2935	2.2207	2.7407
-299.8	2.2931	2.2201	2.741
-299.7	2.2927	2.2194	2.7413
-299.6	2.2922	2.2188	2.7416
-299.5	2.2916	2.2182	2.7419
-299.4	2.2912	2.2175	2.7421
-299.3	2.2907	2.2169	2.7424
-299.2	2.2903	2.2163	2.7426
-299.1	2.2899	2.2156	2.7428
-299	2.2895	2.215	2.743
-298.9	2.2891	2.2144	2.7432
-298.8	2.2887	2.2137	2.7434
-298.7	2.2882	2.2131	2.7437
-298.6	2.2876	2.2124	2.7439
-298.5	2.2871	2.2118	2.7442
-298.4	2.2867	2.2112	2.7445
-298.3	2.2861	2.2105	2.7449
-298.2	2.2855	2.2099	2.7452
-298.1	2.2849	2.2093	2.7456
-298	2.2843	2.2087	2.7459
-297.9	2.2838	2.2081	2.7464
