Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
84.4	 326.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 327.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 328.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 329.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 330.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 331.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 332.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 333.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 334.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 335.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 336.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
