vKurbelwinkel	p_Zyl_1 	p_Ein 	p_Aus 
[KWnZOT]	[bar]	[bar]	[bar]
-306.7	2.2788	2.2642	0.98974
-306.6	2.2787	2.2641	0.98975
-306.5	2.2786	2.2639	0.98979
-306.4	2.2784	2.2637	0.98979
-306.3	2.2783	2.2634	0.98982
-306.2	2.2781	2.2631	0.98979
-306.1	2.2779	2.2629	0.98984
-306	2.2777	2.2626	0.98986
-305.9	2.2776	2.2623	0.98988
-305.8	2.2775	2.2619	0.98986
-305.7	2.2774	2.2616	0.98988
-305.6	2.2773	2.2613	0.98984
-305.5	2.2771	2.261	0.98985
-305.4	2.2769	2.2607	0.98984
-305.3	2.2768	2.2603	0.98981
-305.2	2.2768	2.2599	0.9898
-305.1	2.2767	2.2595	0.9898
-305	2.2767	2.2591	0.98978
-304.9	2.2766	2.2587	0.98975
-304.8	2.2765	2.2582	0.98971
-304.7	2.2764	2.2578	0.98972
-304.6	2.2764	2.2573	0.98968
-304.5	2.2762	2.2568	0.98967
-304.4	2.276	2.2563	0.98967
-304.3	2.2758	2.2557	0.98962
-304.2	2.2757	2.2552	0.98961
-304.1	2.2757	2.2546	0.9896
-304	2.2756	2.2541	0.98961
-303.9	2.2756	2.2535	0.98957
-303.8	2.2756	2.2529	0.98962
-303.7	2.2756	2.2523	0.9896
-303.6	2.2756	2.2517	0.9896
-303.5	2.2756	2.2511	0.98961
-303.4	2.2757	2.2505	0.98964
-303.3	2.2755	2.2498	0.98963
-303.2	2.2755	2.2492	0.98962
-303.1	2.2754	2.2485	0.98963
-303	2.2752	2.2478	0.98958
-302.9	2.275	2.2471	0.98956
-302.8	2.2749	2.2464	0.98958
-302.7	2.2747	2.2457	0.98956
-302.6	2.2745	2.245	0.98953
-302.5	2.2743	2.2442	0.98953
-302.4	2.2741	2.2435	0.9895
-302.3	2.274	2.2428	0.98946
-302.2	2.2737	2.2421	0.98944
-302.1	2.2735	2.2414	0.98947
-302	2.2733	2.2407	0.98941
-301.9	2.2733	2.24	0.98939
-301.8	2.273	2.2393	0.9894
-301.7	2.2728	2.2386	0.98943
-301.6	2.2726	2.2378	0.98935
-301.5	2.2723	2.237	0.9894
-301.4	2.2722	2.2363	0.98939
-301.3	2.2719	2.2356	0.9894
-301.2	2.2716	2.2348	0.98943
-301.1	2.2714	2.2341	0.98952
-301	2.2713	2.2334	0.98947
-300.9	2.271	2.2327	0.98951
-300.8	2.2707	2.232	0.98957
-300.7	2.2705	2.2313	0.98964
-300.6	2.2702	2.2306	0.98962
-300.5	2.2699	2.2299	0.98968
-300.4	2.2696	2.2292	0.9897
-300.3	2.2695	2.2285	0.98969
-300.2	2.2694	2.2278	0.98972
-300.1	2.2692	2.2271	0.98978
-300	2.2689	2.2264	0.98976
-299.9	2.2687	2.2256	0.98976
-299.8	2.2685	2.2249	0.98981
-299.7	2.2683	2.2241	0.9898
-299.6	2.268	2.2234	0.98981
-299.5	2.2677	2.2226	0.98981
-299.4	2.2675	2.2219	0.98982
-299.3	2.2671	2.2212	0.98977
-299.2	2.2669	2.2205	0.98976
-299.1	2.2665	2.2198	0.98976
-299	2.2662	2.2191	0.98973
-298.9	2.2659	2.2184	0.98974
-298.8	2.2657	2.2178	0.98979
-298.7	2.2653	2.2171	0.98971
-298.6	2.265	2.2165	0.98971
-298.5	2.2647	2.2158	0.98975
-298.4	2.2643	2.2152	0.98974
-298.3	2.2639	2.2146	0.98969
-298.2	2.2634	2.2139	0.98972
-298.1	2.2629	2.2133	0.98973
-298	2.2625	2.2126	0.98968
-297.9	2.2619	2.212	0.98971
-297.8	2.2613	2.2114	0.98972
-297.7	2.2607	2.2108	0.98969
-297.6	2.2601	2.2102	0.98965
-297.5	2.2595	2.2097	0.98972
-297.4	2.2589	2.2091	0.98972
-297.3	2.2583	2.2086	0.98971
-297.2	2.2577	2.2081	0.9897
-297.1	2.2571	2.2076	0.98977
-297	2.2564	2.2071	0.98969
-296.9	2.2556	2.2066	0.98972
-296.8	2.255	2.2061	0.98973
-296.7	2.2542	2.2056	0.98973
-296.6	2.2534	2.2051	0.98967
-296.5	2.2528	2.2046	0.98968
-296.4	2.2521	2.2041	0.98964
-296.3	2.2515	2.2037	0.98962
-296.2	2.2507	2.2032	0.98961
-296.1	2.2499	2.2028	0.98962
-296	2.2493	2.2023	0.98959
-295.9	2.2486	2.2018	0.98959
-295.8	2.248	2.2014	0.98961
-295.7	2.2473	2.201	0.98959
-295.6	2.2467	2.2006	0.9896
-295.5	2.2461	2.2002	0.98958
-295.4	2.2455	2.1998	0.98958
-295.3	2.245	2.1994	0.98957
-295.2	2.2444	2.199	0.9896
-295.1	2.2437	2.1986	0.98959
-295	2.2431	2.1982	0.98962
-294.9	2.2426	2.1978	0.98962
-294.8	2.242	2.1974	0.98963
-294.7	2.2414	2.1969	0.98958
-294.6	2.2409	2.1965	0.98964
-294.5	2.2403	2.1961	0.98964
-294.4	2.2397	2.1957	0.98961
-294.3	2.239	2.1952	0.98958
-294.2	2.2384	2.1948	0.98958
-294.1	2.2376	2.1944	0.98956
-294	2.2369	2.194	0.98955
-293.9	2.2362	2.1936	0.98955
-293.8	2.2355	2.1932	0.98957
-293.7	2.2348	2.1928	0.98956
-293.6	2.2342	2.1923	0.98956
-293.5	2.2335	2.1919	0.9896
-293.4	2.2328	2.1914	0.98959
-293.3	2.2321	2.191	0.98959
-293.2	2.2314	2.1905	0.9896
-293.1	2.2307	2.19	0.98964
-293	2.2301	2.1896	0.98961
-292.9	2.2294	2.1891	0.98964
-292.8	2.2287	2.1886	0.98967
-292.7	2.2281	2.1882	0.9897
-292.6	2.2274	2.1878	0.98968
-292.5	2.2268	2.1873	0.98971
-292.4	2.226	2.1869	0.98974
-292.3	2.2252	2.1865	0.98975
-292.2	2.2245	2.1861	0.98976
-292.1	2.2239	2.1857	0.98979
-292	2.2233	2.1853	0.9898
-291.9	2.2226	2.1849	0.98981
-291.8	2.2219	2.1845	0.98982
-291.7	2.2213	2.184	0.98981
-291.6	2.2205	2.1836	0.9898
-291.5	2.2199	2.1832	0.98977
-291.4	2.2193	2.1828	0.9898
-291.3	2.2186	2.1823	0.98983
-291.2	2.218	2.1819	0.9898
-291.1	2.2173	2.1815	0.98977
-291	2.2168	2.181	0.98979
-290.9	2.2162	2.1806	0.98974
-290.8	2.2155	2.1802	0.98973
-290.7	2.2148	2.1797	0.98972
-290.6	2.2142	2.1793	0.9897
-290.5	2.2135	2.1789	0.98966
