Kurbelwinkel	p_Zyl_1	p_ein_1	p_aus_1	ZZP_1	ti_1	Inj_1	Optiktrigger_1
[KWnZOT]	[bar]	[bar]	[bar]	[V]	[V]	[V]	[V]
-0,200000	14,695739	0,416651	0,948544	0,020753	9,991454	10,932064	-0,011353
-0,100000	14,781194	0,416651	0,948544	0,018312	9,991454	10,956479	-0,011353
0,000000	14,866649	0,416773	0,948544	0,018312	9,991454	10,944271	-0,011353
0,100000	14,952104	0,416773	0,948544	0,018312	9,991454	10,968687	-0,011353
0,200000	15,031453	0,416896	0,948544	0,018312	9,991454	10,956479	-0,011353
0,300000	15,116906	0,417018	0,948392	0,018312	9,991454	10,968687	-0,011353
0,400000	15,202363	0,417018	0,948544	0,018312	9,991454	10,956479	-0,011353
0,500000	15,287816	0,417140	0,948544	0,018312	9,991454	10,944271	-0,011353
0,600000	15,373271	0,417262	0,948697	0,018312	9,991454	10,932064	-0,011353
0,700000	15,458726	0,417384	0,948697	0,018312	9,991454	10,907648	-0,011353
0,800000	15,544179	0,417384	0,948849	0,018312	9,991454	10,907648	-0,011353
0,900000	15,629634	0,417506	0,948697	0,018312	9,991454	10,907648	-0,011353
1,000000	15,715089	0,417628	0,948849	0,018312	9,991454	10,907648	-0,011353
1,100000	15,800542	0,417750	0,948849	0,018312	9,991454	10,919856	-0,011353
1,200000	15,892102	0,417872	0,948849	0,018312	9,991454	10,919856	-0,011353
1,300000	15,977555	0,417994	0,948849	0,015870	9,991454	10,932064	-0,011353
1,400000	16,063009	0,418116	0,949002	0,018312	9,991454	10,919856	-0,011353
1,500000	16,148464	0,418238	0,949002	0,018312	9,991454	10,907648	-0,011353
1,600000	16,240023	0,418361	0,949155	0,018312	9,991454	10,895441	-0,011353
1,700000	16,325476	0,418361	0,949155	0,015870	9,991454	10,871025	-0,011353
1,800000	16,417034	0,418483	0,949307	0,018312	9,991454	10,858817	-0,011353
1,900000	16,502489	0,418483	0,949460	0,018312	9,991454	10,809985	-0,011353
2,000000	16,594048	0,418605	0,949460	0,018312	9,991454	10,797778	-0,011353
2,100000	16,685606	0,418605	0,949612	0,018312	9,991454	10,761155	-0,011353
2,200000	16,777164	0,418727	0,949612	0,015870	9,991454	10,724531	-0,011353
2,300000	16,868723	0,418727	0,949612	0,015870	9,991454	10,687908	-0,011353
2,400000	16,954176	0,418849	0,949612	0,018312	9,991454	10,651284	-0,011353
2,500000	17,051840	0,418971	0,949765	0,015870	9,991454	10,626869	-0,011353
2,600000	17,143398	0,419093	0,949918	0,015870	9,991454	10,590246	-0,011353
2,700000	17,234955	0,419215	0,949918	0,018312	9,991454	10,565830	-0,011353
2,800000	17,326515	0,419337	0,950070	0,018312	9,991454	10,541415	-0,011353
2,900000	17,418072	0,419459	0,950223	0,018312	9,991454	10,529207	-0,011353
3,000000	17,503527	0,419581	0,950223	0,018312	9,991454	10,504791	-0,011353
3,100000	17,595085	0,419703	0,950375	0,018312	9,991454	10,492583	-0,011353
3,200000	17,686644	0,419703	0,950681	0,015870	9,991454	10,480376	-0,011353
3,300000	17,772099	0,419825	0,950528	0,015870	9,991454	10,455960	-0,011353
3,400000	17,863657	0,419825	0,950528	0,015870	9,991454	10,431545	-0,011353
3,500000	17,955215	0,419948	0,950681	0,018312	9,991454	10,394921	-0,011353
3,600000	18,040668	0,419948	0,950833	0,015870	9,991454	10,370506	-0,011353
