Kurbelwinkel	Hub_EV
[KWnEO]	[mm]
 85.5	 1.426000
 85.6	 1.423000
 85.7	 1.420000
 85.8	 1.417000
 85.9	 1.414000
 86.0	 1.410000
 86.1	 1.407000
 86.2	 1.404000
 86.3	 1.401000
 86.4	 1.397000
 86.5	 1.394000
 86.6	 1.391000
 86.7	 1.388000
 86.8	 1.384000
 86.9	 1.381000
 87.0	 1.378000
 87.1	 1.374000
 87.2	 1.371000
 87.3	 1.367000
 87.4	 1.364000
 87.5	 1.361000
 87.6	 1.357000
 87.7	 1.354000
 87.8	 1.350000
 87.9	 1.347000
 88.0	 1.344000
 88.1	 1.340000
 88.2	 1.337000
 88.3	 1.333000
 88.4	 1.330000
 88.5	 1.326000
 88.6	 1.323000
 88.7	 1.319000
 88.8	 1.315000
 88.9	 1.312000
 89.0	 1.308000
 89.1	 1.305000
 89.2	 1.301000
 89.3	 1.298000
 89.4	 1.294000
 89.5	 1.290000
 89.6	 1.287000
 89.7	 1.283000
 89.8	 1.279000
 89.9	 1.276000
 90.0	 1.272000
 90.1	 1.268000
 90.2	 1.265000
 90.3	 1.261000
 90.4	 1.257000
 90.5	 1.254000
 90.6	 1.250000
 90.7	 1.246000
 90.8	 1.242000
 90.9	 1.239000
 91.0	 1.235000
 91.1	 1.231000
 91.2	 1.227000
 91.3	 1.223000
 91.4	 1.220000
 91.5	 1.216000
 91.6	 1.212000
 91.7	 1.208000
 91.8	 1.204000
 91.9	 1.200000
 92.0	 1.196000
 92.1	 1.192000
 92.2	 1.188000
 92.3	 1.185000
 92.4	 1.181000
 92.5	 1.177000
 92.6	 1.173000
 92.7	 1.169000
 92.8	 1.165000
 92.9	 1.161000
 93.0	 1.157000
 93.1	 1.153000
 93.2	 1.149000
 93.3	 1.145000
 93.4	 1.141000
 93.5	 1.137000
 93.6	 1.133000
 93.7	 1.129000
 93.8	 1.124000
 93.9	 1.120000
 94.0	 1.116000
 94.1	 1.112000
 94.2	 1.108000
 94.3	 1.104000
 94.4	 1.100000
 94.5	 1.096000
 94.6	 1.091000
 94.7	 1.087000
 94.8	 1.083000
 94.9	 1.079000
 95.0	 1.075000
 95.1	 1.070000
 95.2	 1.066000
 95.3	 1.062000
 95.4	 1.058000
 95.5	 1.054000
 95.6	 1.049000
 95.7	 1.045000
 95.8	 1.041000
 95.9	 1.036000
 96.0	 1.032000
 96.1	 1.028000
 96.2	 1.024000
 96.3	 1.019000
 96.4	 1.015000
 96.5	 1.011000
 96.6	 1.006000
 96.7	 1.002000
 96.8	 0.998000
 96.9	 0.993000
 97.0	 0.989000
 97.1	 0.985000
 97.2	 0.980000
 97.3	 0.976000
 97.4	 0.972000
 97.5	 0.967000
 97.6	 0.963000
 97.7	 0.958000
 97.8	 0.954000
 97.9	 0.950000
