CA	pMess	dummy	dummy	
[KWnZOT]	[bar]	[bar]	[bar]	
-188.15	1.307983573	5	5	687
-187.9	1.308818047	5	5	688
-187.65	1.308190549	5	5	689
-187.4	1.306387795	5	5	690
-187.15	1.304098052	5	5	691
-186.9	1.302067354	5	5	692
-186.65	1.300760579	5	5	693
-186.4	1.300221781	5	5	694
-186.15	1.300199872	5	5	695
-185.9	1.300419065	5	5	696
-185.65	1.300772399	5	5	697
-185.4	1.301293659	5	5	698
-185.15	1.301960295	5	5	699
-184.9	1.302532802	5	5	700
-184.65	1.302615258	5	5	701
-184.4	1.301936945	5	5	702
-184.15	1.300644923	5	5	703
-183.9	1.299333701	5	5	704
-183.65	1.298705622	5	5	705
-183.4	1.299064214	5	5	706
-183.15	1.30004729	5	5	707
-182.9	1.30088353	5	5	708
-182.65	1.301038119	5	5	709
-182.4	1.300735439	5	5	710
-182.15	1.300879575	5	5	711
-181.9	1.302365441	5	5	712
-181.65	1.305292427	5	5	713
-181.4	1.308697529	5	5	714
-181.15	1.311027163	5	5	715
-180.9	1.311019473	5	5	716
-180.65	1.308410183	5	5	717
-180.4	1.304048629	5	5	718
-180.15	1.299420103	5	5	719
-179.9	1.295912836	5	5	720
-179.65	1.294255082	5	5	721
-179.4	1.294376181	5	5	722
-179.15	1.295658707	5	5	723
-178.9	1.297344766	5	5	724
-178.65	1.298854879	5	5	725
-178.4	1.299920142	5	5	726
-178.15	1.300562606	5	5	727
-177.9	1.300991717	5	5	728
-177.65	1.301456477	5	5	729
-177.4	1.302087009	5	5	730
-177.15	1.302788513	5	5	731
-176.9	1.303260225	5	5	732
-176.65	1.303161664	5	5	733
-176.4	1.302356771	5	5	734
-176.15	1.301089475	5	5	735
-175.9	1.299944285	5	5	736
-175.65	1.299559665	5	5	737
-175.4	1.300247435	5	5	738
-175.15	1.301785199	5	5	739
-174.9	1.303553449	5	5	740
-174.65	1.304922707	5	5	741
-174.4	1.30559141	5	5	742
-174.15	1.305639072	5	5	743
-173.9	1.305332336	5	5	744
-173.65	1.30491984	5	5	745
-173.4	1.304579151	5	5	746
-173.15	1.304455429	5	5	747
-172.9	1.304641843	5	5	748
-172.65	1.305088646	5	5	749
-172.4	1.305580461	5	5	750
-172.15	1.305867268	5	5	751
-171.9	1.305841796	5	5	752
-171.65	1.305584582	5	5	753
-171.4	1.305244269	5	5	754
-171.15	1.30489754	5	5	755
-170.9	1.30453054	5	5	756
-170.65	1.304130463	5	5	757
-170.4	1.303767976	5	5	758
-170.15	1.3035918	5	5	759
-169.9	1.303760641	5	5	760
-169.65	1.304375796	5	5	761
-169.4	1.305437098	5	5	762
-169.15	1.306811448	5	5	763
-168.9	1.308227261	5	5	764
-168.65	1.309339303	5	5	765
-168.4	1.309874533	5	5	766
-168.15	1.309786153	5	5	767
-167.9	1.309305367	5	5	768
-167.65	1.308846052	5	5	769
-167.4	1.30882719	5	5	770
-167.15	1.309519269	5	5	771
-166.9	1.310962144	5	5	772
-166.65	1.312929982	5	5	773
-166.4	1.314928424	5	5	774
-166.15	1.316278237	5	5	775
-165.9	1.316352481	5	5	776
-165.65	1.314925728	5	5	777
-165.4	1.312444105	5	5	778
-165.15	1.309989647	5	5	779
-164.9	1.308866507	5	5	780
-164.65	1.309988327	5	5	781
-164.4	1.313403336	5	5	782
-164.15	1.318225638	5	5	783
-163.9	1.322995032	5	5	784
-163.65	1.326250567	5	5	785
-163.4	1.327036008	5	5	786
-163.15	1.325161222	5	5	787
-162.9	1.321196004	5	5	788
-162.65	1.316259537	5	5	789
-162.4	1.311684423	5	5	790
-162.15	1.308638959	5	5	791
-161.9	1.307811458	5	5	792
-161.65	1.309260027	5	5	793
-161.4	1.312474382	5	5	794
-161.15	1.316606057	5	5	795
-160.9	1.320760248	5	5	796
-160.65	1.324237875	5	5	797
-160.4	1.32665324	5	5	798
-160.15	1.327906783	5	5	799
-159.9	1.32805835	5	5	800
-159.65	1.327204907	5	5	801
-159.4	1.325465377	5	5	802
-159.15	1.323083526	5	5	803
-158.9	1.320536862	5	5	804
-158.65	1.318501925	5	5	805
-158.4	1.317629052	5	5	806
-158.15	1.318244529	5	5	807
-157.9	1.320179517	5	5	808
