Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
-152.4	 0.001056772139319706	 4.7281130842639343E-4	 47810.90972864537	 47705.858131413974	 47705.858131413974	 47705.858131413974	 47849.39286934799	 
-152.3	 0.0010651592197904972	 4.726800130398575E-4	 47855.37056697784	 47723.25253770799	 47723.25253770799	 47723.25253770799	 47894.27413879967	 
-152.2	 0.0010735463002612886	 4.725482251514562E-4	 47874.076130120106	 47740.723565114684	 47740.723565114684	 47740.723565114684	 47913.40744972757	 
-152.1	 0.00108193338073208	 4.7241594475507166E-4	 47892.858535499785	 47758.27135020119	 47758.27135020119	 47758.27135020119	 47932.61876070687	 
-152.0	 0.0010903204612028711	 4.7228317184496815E-4	 47939.36559580328	 47775.89603019975	 47775.89603019975	 47775.89603019975	 47979.551911953946	 
-151.9	 0.0010987075416736625	 4.7214990641579707E-4	 48013.60585837067	 47793.59774300968	 47793.59774300968	 47793.59774300968	 48054.22097683605	 
-151.8	 0.0011070946221444539	 4.720161484626012E-4	 48087.93437761751	 47811.376627199366	 47811.376627199366	 47811.376627199366	 48128.98778359523	 
-151.7	 0.0011154817026152453	 4.7188189798081807E-4	 48120.20224104198	 47829.23282200823	 47829.23282200823	 47829.23282200823	 48161.709804025144	 
-151.6	 0.0011238687830860364	 4.717471549662851E-4	 48110.63630242311	 47847.16646734872	 47847.16646734872	 47847.16646734872	 48152.60569776063	 
-151.5	 0.0011322558635568278	 4.716119194152424E-4	 48130.06435057761	 47865.177703808346	 47865.177703808346	 47865.177703808346	 48172.487659649116	 
-151.4	 0.0011406429440276192	 4.714761913243378E-4	 48178.75498572991	 47883.26667265167	 47883.26667265167	 47883.26667265167	 48221.63031053629	 
-151.3	 0.0011490300244984103	 4.7133997069063034E-4	 48227.533389547796	 47901.433515822355	 47901.433515822355	 47901.433515822355	 48270.866347881725	 
-151.2	 0.0011574171049692017	 4.712032575115951E-4	 48276.399822995474	 47919.67837594518	 47919.67837594518	 47919.67837594518	 48320.19604100668	 
-151.1	 0.001165804185439993	 4.7106605178512704E-4	 48286.787584006015	 47938.00139632812	 47938.00139632812	 47938.00139632812	 48331.05915371428	 
-151.0	 0.0011741912659107845	 4.709283535095448E-4	 48258.94370364655	 47956.40272096439	 47956.40272096439	 47956.40272096439	 48303.69527336633	 
-150.9	 0.0011825783463815757	 4.707901626835954E-4	 48231.14494348704	 47974.88249453452	 47974.88249453452	 47974.88249453452	 48276.37057197402	 
-150.8	 0.001190965426852367	 4.7065147930645796E-4	 48203.39124493776	 47993.440862408446	 47993.440862408446	 47993.440862408446	 48249.084987387425	 
-150.7	 0.0011993525073231584	 4.7051230337774835E-4	 48175.682549593614	 48012.07797064761	 48012.07797064761	 48012.07797064761	 48221.83845759217	 
-150.6	 0.0012077395877939496	 4.703726348975235E-4	 48148.018799233316	 48030.79396600705	 48030.79396600705	 48030.79396600705	 48194.630920708456	 
-150.5	 0.001216126668264741	 4.702324738662845E-4	 48077.822620412306	 48049.58899593752	 48049.58899593752	 48049.58899593752	 48124.89314807196	 
-150.4	 0.0012245137487355323	 4.700918202849828E-4	 47965.003481283566	 48068.46320858765	 48068.46320858765	 48068.46320858765	 48012.526071550754	 
-150.3	 0.0012329008292063237	 4.699506741550222E-4	 47852.1085914504	 48087.41675280606	 48087.41675280606	 48087.41675280606	 47900.06440443476	 
-150.2	 0.0012412879096771149	 4.6980903547826536E-4	 47739.137327173004	 48106.4497781435	 48106.4497781435	 48106.4497781435	 47787.5074878637	 
-150.1	 0.0012496749901479063	 4.696669042570365E-4	 47626.08906250025	 48125.562434855055	 48125.562434855055	 48125.562434855055	 47674.85466059257	 
-150.0	 0.0012580620706186976	 4.695242804941259E-4	 47512.96316924736	 48144.7548739023	 48144.7548739023	 48144.7548739023	 47562.10525896899	 
-149.9	 0.0012664491510894888	 4.69381164192795E-4	 47399.759016973476	 48164.02724695546	 48164.02724695546	 48164.02724695546	 47449.258616910396	 
-149.8	 0.0012748362315602802	 4.692375553567804E-4	 47253.205851146806	 48183.37970639568	 48183.37970639568	 48183.37970639568	 47303.05080912582	 
-149.7	 0.0012832233120310716	 4.690934539902976E-4	 47128.18468191785	 48202.81240531716	 48202.81240531716	 48202.81240531716	 47178.34468913903	 
-149.6	 0.0012916103925018627	 4.68948860098046E-4	 47058.093600600696	 48222.325497529426	 48222.325497529426	 48222.325497529426	 47108.53909569062	 
-149.5	 0.001299997472972654	 4.688037736852131E-4	 46987.993732026334	 48241.91913755955	 48241.91913755955	 48241.91913755955	 47038.712147589475	 
-149.4	 0.0013083845534434455	 4.686581947574791E-4	 46917.88477294551	 48261.59348065438	 48261.59348065438	 48261.59348065438	 46968.863523302796	 
-149.3	 0.0013167716339142369	 4.685121233210205E-4	 46873.39086715515	 48281.348682782846	 48281.348682782846	 48281.348682782846	 46924.611871504065	 
-149.2	 0.001325158714385028	 4.683655593825157E-4	 46854.55735204452	 48301.18490063818	 48301.18490063818	 48301.18490063818	 46906.00768554055	 
