[KWnZOT]	[bar]	[bar]	[bar]
-299.7	2.3322	2.2404	2.7468
-299.6	2.3314	2.24	2.7463
-299.5	2.33	2.2393	2.7469
-299.4	2.3302	2.2387	2.7463
-299.3	2.329	2.2379	2.746
-299.2	2.3296	2.2375	2.7467
-299.1	2.3269	2.2364	2.7459
-299	2.3289	2.2363	2.7469
-298.9	2.3286	2.2354	2.7469
-298.8	2.3279	2.2348	2.7477
-298.7	2.3274	2.2341	2.7466
-298.6	2.3272	2.2328	2.7467
-298.5	2.3269	2.2327	2.747
-298.4	2.3263	2.2322	2.7467
-298.3	2.3244	2.2316	2.748
-298.2	2.325	2.2315	2.7475
-298.1	2.3226	2.2307	2.7478
-298	2.322	2.2303	2.7475
-297.9	2.3224	2.2294	2.747
-297.8	2.3218	2.2292	2.7488
-297.7	2.3195	2.2285	2.7481
-297.6	2.3189	2.2282	2.7494
-297.5	2.3195	2.2277	2.7494
-297.4	2.317	2.2271	2.7504
-297.3	2.3183	2.2264	2.7502
-297.2	2.3171	2.2256	2.7503
-297.1	2.3165	2.2253	2.7507
-297	2.3163	2.2252	2.7523
-296.9	2.315	2.2246	2.7515
-296.8	2.3123	2.2241	2.7522
-296.7	2.3134	2.2242	2.7531
-296.6	2.3125	2.2235	2.7529
-296.5	2.3101	2.2236	2.7537
-296.4	2.3092	2.2228	2.7539
-296.3	2.31	2.2229	2.7549
-296.2	2.3063	2.2222	2.7553
-296.1	2.308	2.2218	2.755
-296	2.306	2.2207	2.7554
-295.9	2.3042	2.2205	2.7562
-295.8	2.3041	2.2199	2.7566
-295.7	2.3025	2.2192	2.7566
-295.6	2.3021	2.219	2.7581
-295.5	2.3018	2.2181	2.7577
-295.4	2.3008	2.2179	2.7581
-295.3	2.3009	2.2179	2.7598
-295.2	2.2988	2.2168	2.7587
-295.1	2.2985	2.2167	2.7594
-295	2.2976	2.2166	2.7607
-294.9	2.2974	2.2158	2.7605
-294.8	2.2951	2.2156	2.7615
-294.7	2.2942	2.2153	2.7625
-294.6	2.2937	2.2152	2.7633
-294.5	2.2944	2.2144	2.7639
-294.4	2.2915	2.2141	2.7642
-294.3	2.2926	2.2136	2.7652
-294.2	2.2919	2.2132	2.7665
-294.1	2.2906	2.2128	2.7669
-294	2.2908	2.2123	2.768
-293.9	2.2878	2.2118	2.768
-293.8	2.2886	2.211	2.7682
-293.7	2.2881	2.211	2.7692
-293.6	2.2874	2.2107	2.7699
-293.5	2.2838	2.2102	2.7698
-293.4	2.2851	2.2103	2.7714
-293.3	2.2845	2.2094	2.7709
-293.2	2.2822	2.2093	2.7714
-293.1	2.283	2.2091	2.7725
-293	2.2812	2.2084	2.7727
-292.9	2.279	2.2078	2.7729
-292.8	2.2794	2.2076	2.774
-292.7	2.2789	2.2068	2.7739
-292.6	2.2776	2.2064	2.7743
-292.5	2.276	2.206	2.7762
-292.4	2.2768	2.2058	2.777
-292.3	2.2725	2.2052	2.7765
-292.2	2.2727	2.2052	2.7789
-292.1	2.2732	2.2049	2.7797
-292	2.27	2.2044	2.7797
-291.9	2.2729	2.2039	2.781
-291.8	2.2716	2.2035	2.7824
-291.7	2.2712	2.2036	2.7839
-291.6	2.2693	2.2031	2.785
-291.5	2.268	2.2027	2.787
-291.4	2.2689	2.2016	2.787
-291.3	2.2683	2.202	2.7897
-291.2	2.2668	2.201	2.7904
-291.1	2.2655	2.2003	2.7918
-291	2.2653	2.1999	2.7932
-290.9	2.266	2.1992	2.7941
-290.8	2.2626	2.1988	2.7955
-290.7	2.2598	2.198	2.7967
-290.6	2.2598	2.1978	2.7968
-290.5	2.2595	2.1979	2.7988
-290.4	2.2603	2.1972	2.7989
-290.3	2.2588	2.1965	2.799
-290.2	2.2571	2.1965	2.8003
-290.1	2.2567	2.1966	2.8013
-290	2.2563	2.1957	2.8005
-289.9	2.2564	2.1951	2.801
-289.8	2.2553	2.195	2.8017
-289.7	2.2542	2.1945	2.8019
-289.6	2.2551	2.193	2.8006
-289.5	2.2525	2.1928	2.8014
-289.4	2.2523	2.1926	2.8018
-289.3	2.2484	2.1921	2.8019
-289.2	2.2516	2.1914	2.8013
-289.1	2.2497	2.191	2.8016
